theta_a,theta_d,x,y
50,122,23.55302748,-41.46757449
50,123,25.2545779,-39.46427607
50,124,26.99596283,-37.38721422
50,125,28.78494418,-35.22965122
50,126,30.63125967,-32.98347719
50,127,32.54731001,-30.63877741
50,128,34.54917993,-28.1832043
50,129,36.65821319,-25.6010313
50,130,38.90355555,-22.87166153
50,131,41.32650276,-19.96713963
50,132,43.98850438,-16.84768431
50,133,46.98743833,-13.45283372
50,134,50.49576787,-9.681224247
50,135,54.87264898,-5.332795772
50,136,61.17683565,0.147646037
50,216,62.41624477,103.5643808
50,217,55.60378194,99.92533029
50,218,51.05007321,97.5550841
50,219,47.4476232,95.7739563
50,220,44.38959106,94.35650879
50,221,41.6870014,93.19186757
50,222,39.23456215,92.21482891
50,223,36.96694621,91.38277927
50,224,34.84061299,90.66584114
50,225,32.82501875,90.04198472
50,226,30.89789985,89.49433832
50,227,29.04253955,89.00959112
50,228,27.24608755,88.57698732
50,229,25.49847703,88.18766236
50,230,23.79169931,87.83418787
50,231,22.11930232,87.5102498
50,232,20.47603427,87.21041443
50,233,18.85758462,86.9299544
50,234,17.26039192,86.6647168
50,235,15.6814988,86.41102128
50,236,14.11844076,86.16558023
50,237,12.56915986,85.92543528
50,238,11.03193677,85.68790617
50,239,9.505336765,85.45054918
50,240,7.988166464,85.21112278
50,241,6.479438726,84.96755913
50,242,4.978344103,84.71794013
51,66,-38.8062656,-119.6467742
51,67,-41.94560271,-114.7082746
51,68,-42.99788795,-111.7982994
51,69,-43.34674631,-109.590073
51,70,-43.31069158,-107.7685297
51,71,-43.02465346,-106.1966857
51,72,-42.56044734,-104.7998634
51,73,-41.96152319,-103.5318544
51,74,-41.256462,-102.3616156
51,75,-40.46521517,-101.2670435
51,76,-39.60234669,-100.2317021
51,77,-38.67886679,-99.2429498
51,78,-37.70333805,-98.2907968
51,79,-36.68257748,-97.36717133
51,80,-35.62212084,-96.46542857
51,81,-34.52654038,-95.58001062
51,82,-33.39966857,-94.70620419
51,83,-32.24475948,-93.83996353
51,84,-31.06460766,-92.97777826
51,85,-29.86163734,-92.11657281
51,86,-28.63797037,-91.25362862
51,87,-27.3954787,-90.38652308
51,88,-26.13582537,-89.51308076
51,89,-24.86049692,-88.6313342
51,90,-23.57082913,-87.73949182
51,91,-22.26802774,-86.83591138
51,92,-20.95318507,-85.91907787
51,93,-19.62729347,-84.98758476
51,94,-18.29125627,-84.04011804
51,95,-16.94589656,-83.07544237
51,96,-15.59196423,-82.09238901
51,97,-14.23014164,-81.08984507
51,98,-12.86104796,-80.06674391
51,99,-11.48524245,-79.02205634
51,100,-10.10322682,-77.95478255
51,101,-8.71544668,-76.86394443
51,102,-7.322292137,-75.74857832
51,103,-5.924097689,-74.60772787
51,104,-4.521141279,-73.44043704
51,105,-3.113642576,-72.24574299
51,106,-1.701760433,-71.02266883
51,107,-0.285589448,-69.77021601
51,108,1.134844451,-68.48735628
51,109,2.559589513,-67.17302309
51,110,3.988774938,-65.82610209
51,111,5.422619103,-64.44542076
51,112,6.861439506,-63.02973673
51,113,8.305664766,-61.57772465
51,114,9.755849093,-60.0879611
51,115,11.21268978,-58.55890726
51,116,12.67704841,-56.98888866
51,117,14.14997671,-55.37607146
51,118,15.63274816,-53.71843415
51,119,17.12689714,-52.01373373
51,120,18.63426744,-50.25946473
51,121,20.15707326,-48.452809
51,122,21.6979765,-46.59057365
51,123,23.2601859,-44.66911316
51,124,24.84758589,-42.6842305
